company,title,link,location,experience,education,employmentType,deadline,sector,createdAt
한양이엔지(주),[품질/사무 신입/경력 채용 모집],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49419710&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대전 유성구,경력무관,초대졸↑,기간제·무기계약직,~ 12/18(수),"경리, 경리사무원, 더존, 계산서발행, 세무회계",수정일24/12/05
아시아나에어포트(주),2024년 지상조업직 신입사원 채용 모집공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544324&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,인천 중구,신입,고졸↑,계약직,~ 12/19(목),"항공운송, 적재/하역, 항공운송",등록일24/12/06
(주)필텍,(주)필텍 경리사원 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477289&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경기 광명시,경력무관,학력무관,정규직,~ 01/25(토),"영업관리, 매출관리, 영업지원, 더존, 관리회계",수정일24/11/26
(주)기영에프앤비,[4.5일제] 회계팀 신규 채용 모집 (대리~과장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49359407&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 강남구,경력8년↑,초대졸↑,정규직,~ 12/31(화),"감사, 경리, 전산회계, IR/공시, 더존",수정일24/12/06
(재)예수병원유지재단,전주 예수병원 신규직원 공개 채용 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533192&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,전북 전주시 완산구,경력무관,초대졸↑,정규직·계약직,~ 12/18(수),"사무직, 간호사, 물리치료사, 방사선사, 약사",수정일24/12/11
(주)커넥티드,회계/경리 및 사무보조 단기채용 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49560721&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,광주 북구,경력무관,대졸↑,계약직,~ 12/21(토),"총무, 사무직, 서류관리, 사무보조, 소프트웨어개발",등록일24/12/10
태성전기(주),태성전기(주) 인사·총무 경력직 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49437029&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경북 구미시,경력,학력무관,정규직,~ 12/20(금),"인사, 총무, 문서작성, 금속",수정일24/11/20
(주)협화산업,경영지원팀 인사·총무 경력 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49210153&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경기 안산시 단원구,경력1년↑,학력무관,정규직,오늘마감,"인사, 총무, 경영지원, 기계, 자동차",등록일24/10/16
주식회사 디앤씨컴퍼니,[(주) 디앤씨컴퍼니]인사 총괄 실장급  채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49557773&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대전 중구,경력10년↑,초대졸↑,정규직,~ 01/08(수),"인사, 인사기획, 총무, 인사교육, 경영지원",수정일24/12/09
세무법인두레택스 서초지사,세무법인 내 경영지원팀 소속 인사/총무담당자 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532635&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 서초구,경력무관,학력무관,정규직,~ 01/04(토),"인사, 총무, 경영지원, 경리, 경리사무원",등록일24/12/05
